 :<PROG=1 SEG=M  TRM=9999 SYS=+20 PRB1=+24 PRB2=+23 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+16 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+19 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+19 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+15 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+18 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+17 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+17 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+14 PRB1=+17 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+13 PRB1=+17 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+13 PRB1=+17 PRB2=+18 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+13 PRB1=+17 PRB2=+17 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+13 PRB1=+17 PRB2=+17 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+13 PRB1=+17 PRB2=+17 PRB3=- 7 VAC=9999>
